name,ring,quadrant,isNew,description
API-LED,Adopt,Techniques,TRUE,
EVENT DRIVEN,Adopt,Techniques,FALSE,
API MANAGEMENT,Adopt,Techniques,FALSE,
PATRONES DE ARQUITECTURA DE INTEGRACIÓN,Adopt,Techniques,FALSE,
PATRONES DE ARQUITECTURA BIG DATA,Adopt,Techniques,TRUE,
DEVOPS,Trial,Techniques,TRUE,
PATRONES DE CONTENERIZACIÓN,Trial,Techniques,TRUE,
CLOUD COMPUTING,Trial,Techniques,FALSE,
SRUM,Trial,Techniques,TRUE,
KANBAN,Trial,Techniques,TRUE,
DESIGN THINKING,Trial,Techniques,TRUE,
INGENIERÍA DE SOTWARE,Trial,Techniques,TRUE,
ALGORTIMOS DE PROCESAMIENTO DE DATOS,Trial,Techniques,TRUE,
ALGORTIMOS DE MACHINE LEARNING,Trial,Techniques,TRUE,
PROJECT MANAGEMENT,Trial,Techniques,TRUE,
PRODUCT MANAGEMENT,Trial,Techniques,TRUE,
ARQUITECTURA EMPRESARIAL,Assess,Techniques,FALSE,
TOGAF,Assess,Techniques,FALSE,
BUSINESS PROCESS MANAGEMENT,Assess,Techniques,TRUE,
MICRO FRONTENDS,Assess,Techniques,TRUE,
UX,Assess,Techniques,TRUE,
MULESOFT ANYPOINT PLATFORM,Trial,Platforms,FALSE,
WORKATO,Trial,Platforms,FALSE,
ORACLE API PLATFORM,Trial,Platforms,FALSE,
ORACLE INTEGRATION CLOUD,Trial,Platforms,FALSE,
AWS SQS,Trial,Platforms,FALSE,
AWS STEP FUNCTIONS,Trial,Platforms,TRUE,
AWS LAMBDAS,Assess,Platforms,TRUE,
APIGEE,Assess,Platforms,TRUE,
ORACLE DATABASE,Assess,Platforms,TRUE,
ORACLE AUTONOMOUS DATABASE,Assess,Platforms,TRUE,
ORACLE WEBLOGIC,Assess,Platforms,TRUE,
ORACLE SOA SUITE,Assess,Platforms,TRUE,
ORACLE FUNCTIONS,Assess,Platforms,TRUE,
ORACLE CLOUD INFRASTRUCTURE,Assess,Platforms,TRUE,
ORACLE DIGITAL ASSISTANT,Assess,Platforms,FALSE,
ORACLE CONTENT & EXPERIENCE,Assess,Platforms,TRUE,
ORACLE CONTAINERS FOR KUBERNETES,Hold,Platforms,TRUE,
ORACLE DATA INTEGRATOR,Hold,Platforms,TRUE,
ORACLE GOLDEN GATE,Hold,Platforms,FALSE,
ORACLE ACCESS MANAGER,Hold,Platforms,FALSE,
ORACLE IDENTITY CLOUD SERVICES,Hold,Platforms,FALSE,
OKTA,Hold,Platforms,FALSE,
OPEN ACCESS MANAGER,Hold,Platforms,FALSE,
OPENSHIFT,Hold,Platforms,FALSE,
